Date,daily_return_firm,daily_return_market,daily_return_market_ew,trading_day_offset
2024-03-15,-0.004549373595468698,-0.006482917484461503,-0.0016566213812331254,-158
2024-03-18,0.021545110932141842,0.006318059504952345,0.002835819744295698,-157
2024-03-19,0.024712396279280346,0.0056491496501236416,0.0057712653294312855,-156
2024-03-20,0.01829524108173719,0.008904173912846591,0.008409523228261717,-155
2024-03-21,-0.0032666363598908843,0.0032365354015160275,0.007147266921530004,-154
2024-03-22,-0.008807871934939149,-0.0014021878490156903,-0.006448849937883749,-153
2024-03-25,0.0012399539997483,-0.0030549644525015296,-0.0021344819631835543,-152
2024-03-26,-0.012796675379188382,-0.002799795225030266,-0.0015465113226024174,-151
2024-03-27,0.0037632549359771783,0.008630626525532925,0.01569241513105335,-150
2024-03-28,0.029577213773941846,0.0011164855071790214,0.0043689450917998585,-149
2024-04-01,-0.00182075970123885,-0.0020135845401164643,-0.006135933455107545,-148
2024-04-02,-0.02837457481859118,-0.0072390590731691296,-0.009104850687693955,-147
2024-04-03,-0.002294468060184962,0.001091122364688113,0.0010736249736893466,-146
2024-04-04,-0.006690434816452706,-0.012334336350379616,-0.010565402229799958,-145
2024-04-05,0.016838625131990748,0.011099194174331695,0.006561648644434204,-144
2024-04-08,0.002069933166600535,-0.00037463099831791524,0.0025344426576743295,-143
2024-04-09,0.01445983815628682,0.0014454931932483817,0.004000979413558037,-142
2024-04-10,-0.006515978229427399,-0.009456980649108493,-0.016423010581084863,-141
2024-04-11,0.023160426977125725,0.007444797710585593,-0.001026427100773053,-140
2024-04-12,-0.028245190287071287,-0.01455068829580164,-0.01588018729273477,-139
2024-04-15,-0.052978762806582425,-0.01202135494776202,-0.008948685671313017,-138
2024-04-16,-0.005006520442136231,-0.0020565070133361507,-0.00536544557672225,-137
2024-04-17,-0.029096434981317087,-0.005780602724641426,-0.0021181930301211738,-136
2024-04-18,-0.006534495460742473,-0.002208160119998248,-0.0004935415036448898,-135
2024-04-19,0.01678388922444496,-0.00875854812743615,0.003086592148157541,-134
2024-04-22,0.004461229981562065,0.008731248071466746,0.007894864145042257,-133
2024-04-23,0.02487236901940504,0.011964576270872662,0.008644622658344536,-132
2024-04-24,0.005850414607570631,0.0002130100613548791,0.0015513250673080403,-131
2024-04-25,-0.022404074576759192,-0.004576430353515626,-0.002728115979267365,-130
2024-04-26,0.013442058087128617,0.01020914263474304,0.001302412821601484,-129
2024-04-29,-0.007175512481209623,0.0031784486665891176,0.007019775505029857,-128
2024-04-30,-0.015111665112020223,-0.01573051358686217,-0.014986132278640318,-127
2024-05-01,0.0013341684893291017,-0.0034354388154940185,-0.003456636858575002,-126
