Date,daily_return_firm,daily_return_market,daily_return_market_ew,trading_day_offset
2025-10-06,0.025310977196369322,0.0036465919796933033,-0.00047849779653585944,-157
2025-10-07,-0.07029279638283681,-0.0038114057910215715,-0.0045679414423414055,-156
2025-10-08,-0.05040510411730914,0.0058276636405680815,0.003295194484834285,-155
2025-10-09,0.05687207475842504,-0.002755570407195318,-0.00823938238163513,-154
2025-10-10,0.008968586852557747,-0.02711167321141361,-0.02269573402362035,-153
2025-10-13,-0.03733328360098376,0.015598671787557583,0.010035056599625003,-152
2025-10-14,0.015697085108838715,-0.0015643266604626893,0.008284327732343444,-151
2025-10-15,-0.018181771943063474,0.004026001159503689,0.0016911490207154323,-150
2025-10-16,0.03935177935603673,-0.006294387099829435,-0.00900729660700783,-149
2025-10-17,-0.03340757313995413,0.0052707155502571545,0.0046375552998594305,-148
2025-10-20,0.059907858944562964,0.010672270853256949,0.009960722241124653,-147
2025-10-21,-0.0465217258619226,3.2696450934288634e-05,0.00476822348552175,-146
2025-10-22,-0.0300957518571644,-0.005337539220865439,-0.005084422173453951,-145
2025-10-23,0.04372350792642177,0.0058273934429324825,0.0048243747565626105,-144
2025-10-24,-0.05855852553355645,0.00790242258787388,0.002556485356970173,-143
2025-10-27,-0.8025518347081352,0.012290050865671143,0.0045747914636238285,-142
2025-10-28,0.1421647990801589,0.0022879438603986557,-0.00908088164959131,-141
2025-10-29,-0.01697317673021237,-4.3578255173426506e-05,-0.011071069073864681,-140
2025-10-30,0.0,-0.00990481243951924,-0.004121438579146042,-139
2025-10-31,-0.007194203635955465,0.0026179217059763005,0.002119220076621575,-138
2025-11-03,-0.002898547920302419,0.0017207127269924793,-0.0029580812038539905,-137
2025-11-04,-0.001453521615624065,-0.011736830084583816,-0.006261721711335322,-136
2025-11-05,-0.02620084881180096,0.0036535556982648654,0.005948577116200449,-135
2025-11-06,-0.047683145203613386,-0.011178189042419073,-0.007389466560977831,-134
2025-11-07,0.02024802867759079,0.0012618418007710464,0.008916880160330543,-133
2025-11-10,-0.0030769201425405734,0.01540101862170995,0.00520726841859398,-132
2025-11-11,-0.0339505848061874,0.002075350517340535,0.005785200939240287,-131
2025-11-12,-0.014377020654513073,0.0006295171887717999,0.002322073855498763,-130
2025-11-13,-0.02593190363592579,-0.01655685496159698,-0.011849787457753225,-129
2025-11-14,0.04692172666774774,-0.0005017255648851471,-0.003281534679422049,-128
2025-11-17,-0.0098537507351113,-0.00916226617680782,-0.013144181756095885,-127
2025-11-18,0.032102698018110276,-0.008256436690967983,-0.0002231128906212687,-126
2025-11-19,-0.06687400308216274,0.0037538357962292324,-0.0029921417372744674,-125
2025-11-20,0.016666650772094727,-0.015567283563270418,-0.011674627770613344,-124
2025-11-21,0.02622956176241198,0.009823035415319481,0.019312414856113236,-123
2025-11-24,0.022364195106523654,0.015467217001293498,0.004163184731723613,-122
2025-11-25,-0.017187520605511653,0.009061696817220577,0.014466288727325693,-121
2025-11-26,-0.05039744263664114,0.006906711511012631,0.006423440990164453,-120
2025-11-28,0.004520333196847082,0.005354773163420257,0.0050859435169476885,-119
2025-12-01,0.03333330154418945,-0.005323329342915684,-0.0070111940409074425,-118
2025-12-02,-0.004032196661186149,0.002457235261999813,-0.00062285710331067,-117
2025-12-03,0.004048521094425883,0.0029797912994984355,0.00732144864061679,-116
2025-12-04,-0.005161224031793643,0.0010803218396737702,0.00044432721858345126,-115
2025-12-05,-0.004539616368749111,0.001936641757662061,0.0019753535340034656,-114
2025-12-08,0.017915331580840244,-0.003477255626794018,-0.005927338635145496,-113
