Date,daily_return_firm,daily_return_market,daily_return_market_ew,trading_day_offset
2024-11-20,-0.03906938760835599,2.195086225209586e-05,0.0029933944183517802,-153
2024-11-21,-0.019186808838423164,0.0053404615405816536,0.012948965614996144,-152
2024-11-22,0.02468557774731317,0.003467959094991535,0.007917247588886234,-151
2024-11-25,0.007272743710837526,0.003020480305938378,0.008808105099810781,-150
2024-11-26,-0.015342961718361026,0.005722005647630368,-8.975000211008943e-05,-149
2024-11-27,0.0325389108535723,-0.003801238017440034,-0.001138825495515361,-148
2024-11-29,0.05725719201854296,0.005607785488815242,0.00272948525283212,-147
2024-12-02,-0.021410660075379173,0.0024484564662998753,-0.002736530354597977,-146
2024-12-03,-0.009009033879578965,0.0004514491145146682,-0.0042409173402047085,-145
2024-12-04,-0.013852844403388187,0.006051417924264779,-9.290056956989812e-05,-144
2024-12-05,0.010535623868717536,-0.0018697756269248078,-0.004869699057120647,-143
2024-12-06,-0.005212848522100133,0.0024954538421815275,-0.0009560354556075179,-142
2024-12-09,-0.018777412980975683,-0.006144213927296471,-0.004732811503006973,-141
2024-12-10,-0.03426777948923243,-0.002963883313944371,-0.00613647655873284,-140
2024-12-11,0.019354801605263372,0.008165786048233592,0.0009201989163434288,-139
2024-12-12,-0.02350829891869599,-0.005414022527810203,-0.0036046770558089136,-138
2024-12-13,-0.023148078349647716,-2.6466639124200775e-05,-0.0038166284876098855,-137
2024-12-16,-0.0023696794153958978,0.0037993543260221863,-0.003562345860353755,-136
2024-12-17,-0.005225566730678866,-0.003863994965801476,-0.007544081569279659,-135
2024-12-18,-0.05730666977327448,-0.02949284635160343,-0.029732721215370073,-134
2024-12-19,0.0025331375946247014,-0.0008651123249070469,-0.003556934238667764,-133
2024-12-20,0.004547693085058979,0.010869123768910471,0.01387797640350752,-132
2024-12-23,0.018108518889258907,0.007287273468533639,0.001784944066576255,-131
2024-12-24,0.00938741518318742,0.01104275925539211,0.007817785364393925,-130
2024-12-26,-0.001957933213602825,-0.00040565878647391695,0.0010074262792714173,-129
2024-12-27,-0.039234910916819854,-0.011055736101235558,-0.007171263663530603,-128
2024-12-30,0.0,-0.010701995701766776,-0.009884351781937029,-127
2024-12-31,-0.010209238473409155,-0.004284800394927402,0.001387654393077531,-126
2025-01-02,0.02114479620625831,-0.0022238866412221947,-0.0029250128932439834,-125
2025-01-03,-0.0005048362246681259,0.01259602672149196,0.009218851110171844,-124
2025-01-06,0.023243852243773677,0.005538045085450305,-0.0005290551165820778,-123
2025-01-07,0.017777842403661648,-0.01110391288210788,-0.003325608677322567,-122
2025-01-08,-0.04949054187882851,0.001560360190925314,0.0014808001561885664,-121
2025-01-10,0.007656903969770479,-0.01541164380306681,-0.015135312120689082,-120
2025-01-13,0.010638427133249584,0.0015754440882007614,0.008294337093599724,-119
2025-01-14,0.02406010451667484,0.0011462798112440442,0.007827683493644377,-118
2025-01-15,0.013705341598401866,0.018312792279639112,0.009537311773849977,-117
2025-01-16,0.09319159926605769,-0.0021126894641922966,0.008067071630421863,-116
2025-01-17,-0.0348940025959954,0.009991058969353706,0.0048207839275278275,-115
2025-01-21,0.03661335624678275,0.008768227105582893,0.011726813947817938,-114
2025-01-22,-0.028697619066682556,0.006137941522227575,-0.0037082299842211564,-113
2025-01-23,0.03727286691608489,0.00531348622041139,0.004853522467520133,-112
2025-01-24,0.022348816265653992,-0.002855132319398823,-0.0009257327605318721,-111
2025-01-27,-0.015430913113267164,-0.014580715690809543,0.00024247847127178979,-110
2025-01-28,-0.002176677629289081,0.009217869449967608,-0.00473181280333046,-109
2025-01-29,-0.0034904515823845905,-0.004678895760321544,-0.0034207746115085813,-108
2025-01-30,0.007005355017274395,0.005275414405311762,0.010293549294439375,-107
2025-01-31,0.013912988479844346,-0.005046825754019935,-0.007715511180001355,-106
2025-02-03,-0.004717069879379476,-0.007608597684666707,-0.006111204990846275,-105
2025-02-04,0.02542029839791593,0.007224881828679752,0.0013251188100427136,-104
2025-02-05,0.03655458993609284,0.003908672930614365,0.004806320184747248,-103
2025-02-06,-0.021483712390559906,0.003644298722618622,-0.001235302313224107,-102
2025-02-07,-0.01946973754902992,-0.009464770111542897,-0.0050906132080811295,-101
2025-02-10,0.018589033984976355,0.006712541085862833,0.0032538965576920376,-100
2025-02-11,-0.0352551602494785,0.00033958278885926063,-0.00021173555310105563,-99
2025-02-12,-0.020206338994401274,-0.0027238667143857365,-0.005561670764490545,-98
2025-02-13,0.02237823640635317,0.010426292122230674,0.008393256811368932,-97
2025-02-14,0.015021444680240581,-7.194380749464546e-05,-0.0012127917558638623,-96
2025-02-18,0.002536993109494068,0.0024449877750611915,0.007603558893255924,-95
2025-02-19,-0.0029523215328747243,0.0023769693899173827,0.0019539342787036063,-94
2025-02-20,0.0016920716630663968,-0.0043341850761716705,-0.0028961183738976937,-93
2025-02-21,-0.015625038600827645,-0.01706412670256352,-0.01417282897962635,-92
2025-02-24,-0.025739977290863414,-0.00496910650440241,0.0007217863890904841,-91
2025-02-25,-0.007485774838231096,-0.004679730915472358,0.0012845534410859116,-90
2025-02-26,0.002662015939393525,0.00013602428004699796,-0.002207717598664116,-89
2025-02-27,-0.0318585182557688,-0.015864553655509872,-0.009030356021309416,-88
2025-02-28,-0.014625172308166956,0.01585414463498891,0.011020656786479677,-87
2025-03-03,-0.03803344467811609,-0.0175967394669998,-0.010856629388421357,-86
2025-03-04,0.011571820816735023,-0.012234826602200433,-0.0163013140363637,-85
2025-03-05,-0.05529071570706079,0.011159277893187936,0.009514366322595169,-84
2025-03-06,-0.01816343788324437,-0.017819007085749905,-0.011209028517658148,-83
2025-03-07,0.005652626888246415,0.00552061780274804,0.009164110040528639,-82
2025-03-10,-0.03321395785365666,-0.0269730913054258,-0.014050483995606045,-81
2025-03-11,0.012416270386088613,-0.007567865323653167,-0.013498011449336156,-80
2025-03-12,-0.005765154769733827,0.004886869929446425,-0.00458538693582633,-79
2025-03-13,-0.015287391429489205,-0.013890984206835322,-0.009962162201480607,-78
2025-03-14,0.023554631686836913,0.021265869083087807,0.019024812768111632,-77
2025-03-17,0.005753195511426501,0.006416130719105961,0.013168928862626439,-76
2025-03-18,-0.004680307124953487,-0.010653512117636543,-0.005293301698575337,-75
2025-03-19,0.03239306306994738,0.010798495567894584,0.007122358313738308,-74
2025-03-20,-0.016700569916680008,-0.0021848931523151816,-0.0036680990692268267,-73
2025-03-21,-0.006175942226314235,0.0008246534476661349,-0.0047816476212481085,-72
2025-03-24,0.03210757931158725,0.017646000146633645,0.01568737234930828,-71
2025-03-25,-0.015052553046439376,0.0015743334544251475,-0.002654835986891091,-70
2025-03-26,-0.04228222910494883,-0.011156934922627149,-0.002000975941805483,-69
2025-03-27,-0.030851052508738874,-0.003306980860763864,-0.002641853425293661,-68
2025-03-28,-0.01811203889032509,-0.01973722070834405,-0.015103419018614339,-67
2025-03-31,-0.008384498709601118,0.005538521570653376,0.007540605767039299,-66
2025-04-01,0.002254873643205313,0.0037812354559083605,0.0010890780631302999,-65
2025-04-02,0.028121524629384886,0.006728194715792668,0.008872506645092537,-64
2025-04-03,-0.07549242831562164,-0.04839563335990149,-0.047936114547149966,-63
2025-04-04,-0.06568051023326082,-0.05974960534553109,-0.05657247331292736,-62
2025-04-07,0.005699894884911627,-0.0023314724921273955,-0.00803187801010563,-61
2025-04-08,-0.07997490801961782,-0.015700524562941354,-0.0191302046483236,-60
2025-04-09,0.12388794849663975,0.09515387644904849,0.0796342503850549,-59
2025-04-10,-0.06760063547417472,-0.03460757958472693,-0.03289218275871275,-58
2025-04-11,0.008491174775750343,0.018092095201708958,0.015404303085529536,-57
2025-04-14,0.018782439639531745,0.007944712390868913,0.012357658763739288,-56
2025-04-15,0.010171646613784446,-0.0017277808903947145,-0.0031077072651728432,-55
2025-04-16,0.008181238489250564,-0.0224083715440897,-0.013529199349154641,-54
2025-04-17,0.009363333911885707,0.0013268380955802073,0.00758710463808443,-53
2025-04-21,-0.01793443859426891,-0.023567493023827546,-0.020405885767205922,-52
2025-04-22,0.01133499695829765,0.025117204723895226,0.025001778378978656,-51
