Date,daily_return_firm,daily_return_market,daily_return_market_ew,trading_day_offset
2025-03-17,0.01760637466955406,0.006416130719105961,0.013168928862626439,-158
2025-03-18,-0.029234083645340636,-0.010653512117636543,-0.005293301698575337,-157
2025-03-19,-0.005761696324421806,0.010798495567894584,0.007122358313738308,-156
2025-03-20,0.010044839052313792,-0.0021848931523151816,-0.0036680990692268267,-155
2025-03-21,-0.010709867529152484,0.0008246534476661349,-0.0047816476212481085,-154
2025-03-24,0.043844709618133804,0.017646000146633645,0.01568737234930828,-153
2025-03-25,0.0011111481619427988,0.0015743334544251475,-0.002654835986891091,-152
2025-03-26,-0.0054758435437787245,-0.011156934922627149,-0.002000975941805483,-151
2025-03-27,0.016369139188545656,-0.003306980860763864,-0.002641853425293661,-150
2025-03-28,0.0012444960567314922,-0.01973722070834405,-0.015103419018614339,-149
2025-03-31,0.002266561006872614,0.005538521570653376,0.007540605767039299,-148
2025-04-01,0.010650652433441765,0.0037812354559083605,0.0010890780631302999,-147
2025-04-02,0.02295371797804635,0.006728194715792668,0.008872506645092537,-146
2025-04-03,0.009737544954317334,-0.04839563335990149,-0.047936114547149966,-145
2025-04-04,-0.06862338857704275,-0.05974960534553109,-0.05657247331292736,-144
2025-04-07,-0.024684823801513045,-0.0023314724921273955,-0.00803187801010563,-143
2025-04-08,0.008231341027875816,-0.015700524562941354,-0.0191302046483236,-142
2025-04-09,0.09209528116176369,0.09515387644904849,0.0796342503850549,-141
2025-04-10,-0.0009781274706380794,-0.03460757958472693,-0.03289218275871275,-140
2025-04-11,0.0341981900957562,0.018092095201708958,0.015404303085529536,-139
2025-04-14,0.017987478465585793,0.007944712390868913,0.012357658763739288,-138
2025-04-15,0.025242481873472,-0.0017277808903947145,-0.0031077072651728432,-137
2025-04-16,-0.025268847926795734,-0.0224083715440897,-0.013529199349154641,-136
2025-04-17,-0.004320720185620908,0.0013268380955802073,0.00758710463808443,-135
2025-04-21,-0.03758588608298341,-0.023567493023827546,-0.020405885767205922,-134
2025-04-22,0.026359620943576578,0.025117204723895226,0.025001778378978656,-133
2025-04-23,0.02730463032450081,0.01666113847096007,0.00964704735302302,-132
2025-04-24,0.007565749318976245,0.020259113708281262,0.01688985349465555,-131
2025-04-25,-0.03702251645388721,0.007373133469998461,-0.0014476590061587302,-130
2025-04-28,0.012611884080792946,0.0006407067039131409,0.0030231761974708338,-129
2025-04-29,-0.009575416571899531,0.005802410694099036,0.005515540163328225,-128
2025-04-30,-0.019538904185618544,0.00147999135976562,0.0016287596369466417,-127
2025-05-01,-0.006619822683659127,0.006299102138585644,-0.001403005944865643,-126
2025-05-02,0.05379702992739421,0.01472657412963474,0.017337084122631685,-125
2025-05-05,0.025558296193997077,-0.006381597588933863,-0.003812879211323117,-124
2025-05-06,0.004110728881832282,-0.007693239651855532,-0.006957423260382067,-123
2025-05-07,0.0031344302912093003,0.00434635623313584,0.006038255915707946,-122
2025-05-08,0.020341710455490603,0.005799775094835535,0.008371984721582182,-121
2025-05-09,-0.0004999802124939778,-0.0007114809122162891,-0.00010868249505668892,-120
2025-05-12,-0.028950102145065437,0.032558782749008364,0.027585372009413467,-119
2025-05-13,0.002446810151683021,0.0072482009835321826,0.0022136232423166646,-118
2025-05-14,0.0028263261954450947,0.001024415597859818,-0.006163672048150826,-117
2025-05-15,0.004932131030896736,0.004132332074135769,0.008917779970126771,-116
2025-05-16,0.014851181338001895,0.007005272294898557,0.009681228533925168,-115
2025-05-19,0.012247185864162846,0.0008761131291423752,-0.0001399595410399579,-114
2025-05-20,-0.012905639105823763,-0.0038802294486252054,-0.0031590790807050073,-113
2025-05-21,0.015400069172411435,-0.01613513066101424,-0.02150350068712359,-112
2025-05-22,-0.0044570136921991965,-0.00044487103794299543,-0.0031121254803058163,-111
2025-05-23,0.010819488590540383,-0.006708297825321674,-0.003958774497876072,-110
2025-05-27,0.00824308783227945,0.0204590558452733,0.018109692758931928,-109
2025-05-28,-0.008846839549963459,-0.005571225417268844,-0.00899051667354489,-108
2025-05-29,0.00911046940807636,0.004011194261904327,0.0029842321184017084,-107
2025-05-30,0.04599529605198249,-8.118516130162234e-05,-6.159910455005857e-05,-106
2025-06-02,0.024494062625195046,0.0041020419271569075,9.387434034136e-05,-105
2025-06-03,-0.0032446750803829527,0.005800290454605506,0.008227077737065436,-104
2025-06-04,-0.01890355626501805,7.36874595066439e-05,-0.0025885483569990653,-103
2025-06-05,-0.019908017361925046,-0.005277383403094138,-0.0024393124077253248,-102
2025-06-06,-0.014076113238216559,0.010280683010067904,0.008452395296257409,-101
2025-06-09,-0.02246985378035582,0.0009199480792858594,0.00010657119905577161,-100
2025-06-10,-0.033277925760120786,0.00548298940767844,0.004958377468613939,-99
2025-06-11,0.0070122148132527595,-0.002743888954607865,-0.003083191506299876,-98
2025-06-12,0.019624017722102538,0.0038224199557175265,0.0025070276833292215,-97
2025-06-13,-0.0008692782148799205,-0.011296379879250695,-0.012494170436652796,-96
2025-06-16,0.008513082944934025,0.009392659896159117,0.00955200167868231,-95
2025-06-17,-0.01786820148332724,-0.008352184790166306,-0.00989007844713996,-94
